Average Latency : 0.4  Packet Loss 0.0
Average Latency : 0.35  Packet Loss 0.0
Average Latency : 0.35  Packet Loss 0.0
Average Latency : 0.35  Packet Loss 0.0
Average Latency : 0.41  Packet Loss 0.0
Average Latency : 0.34  Packet Loss 0.0
Average Latency : 0.35  Packet Loss 0.0
Average Latency : 0.4  Packet Loss 0.0
Average Latency : 0.36  Packet Loss 0.0
Average Latency : 0.36  Packet Loss 0.0
Average Latency : 0.51  Packet Loss 0.0
Average Latency : 0.35  Packet Loss 0.0
Average Latency : 0.54  Packet Loss 0.0
Average Latency : 0.38  Packet Loss 0.0
Average Latency : 0.35  Packet Loss 0.0
Average Latency : 0.4  Packet Loss 0.0
Average Latency : 0.36  Packet Loss 0.0
Average Latency : 0.47  Packet Loss 0.0
Average Latency : 0.62  Packet Loss 0.0
Average Latency : 0.36  Packet Loss 0.0
Average Latency : 0.43  Packet Loss 0.0
Average Latency : 0.39  Packet Loss 0.0
Average Latency : 0.37  Packet Loss 0.0
Average Latency : 0.38  Packet Loss 0.0
Average Latency : 0.37  Packet Loss 0.0
Average Latency : 0.41  Packet Loss 0.0
Average Latency : 0.35  Packet Loss 0.0
Average Latency : 0.38  Packet Loss 0.0
Average Latency : 0.4  Packet Loss 0.0
Average Latency : 0.34  Packet Loss 0.0
Average Latency : 0.41  Packet Loss 0.0
Average Latency : 0.37  Packet Loss 0.0
Average Latency : 0.36  Packet Loss 0.0
Average Latency : 0.43  Packet Loss 0.0
Average Latency : 0.37  Packet Loss 0.0
Average Latency : 0.36  Packet Loss 0.0
Average Latency : 0.38  Packet Loss 0.0
Average Latency : 0.34  Packet Loss 0.0
Average Latency : 0.4  Packet Loss 0.0
Average Latency : 0.37  Packet Loss 0.0
