Average Latency : 3.63  Packet Loss 0.0
Average Latency : 1.47  Packet Loss 0.0
Average Latency : 2.15  Packet Loss 0.0
Average Latency : 2.48  Packet Loss 0.0
Average Latency : 451.78  Packet Loss 0.15
Average Latency : 1.51  Packet Loss 0.0
Average Latency : 1.81  Packet Loss 0.0
Average Latency : 1.42  Packet Loss 0.0
Average Latency : 152.05  Packet Loss 0.05000000000000001
Average Latency : 1.51  Packet Loss 0.0
Average Latency : 1.48  Packet Loss 0.0
Average Latency : 2.08  Packet Loss 0.0
Average Latency : 155.13  Packet Loss 0.049999999999999996
Average Latency : 1.68  Packet Loss 0.0
Average Latency : 2.52  Packet Loss 0.0
Average Latency : 1.9  Packet Loss 0.0
Average Latency : 3.18  Packet Loss 0.0
Average Latency : 455.01  Packet Loss 0.15
Average Latency : 6.35  Packet Loss 0.0
Average Latency : 3.89  Packet Loss 0.0
Average Latency : 154.42  Packet Loss 0.049999999999999996
Average Latency : 1.92  Packet Loss 0.0
Average Latency : 1.89  Packet Loss 0.0
Average Latency : 1.7  Packet Loss 0.0
Average Latency : 303.67  Packet Loss 0.10000000000000002
Average Latency : 1.96  Packet Loss 0.0
Average Latency : 1.67  Packet Loss 0.0
Average Latency : 1.74  Packet Loss 0.0
Average Latency : 3.53  Packet Loss 0.0
Average Latency : 4.23  Packet Loss 0.0
Average Latency : 2.06  Packet Loss 0.0
Average Latency : 2.69  Packet Loss 0.0
Average Latency : 1.99  Packet Loss 0.0
Average Latency : 2.19  Packet Loss 0.0
Average Latency : 1.96  Packet Loss 0.0
Average Latency : 153.18  Packet Loss 0.049999999999999996
Average Latency : 4.15  Packet Loss 0.0
Average Latency : 1051.41  Packet Loss 0.35000000000000003
Average Latency : 1.6  Packet Loss 0.0
Average Latency : 2.02  Packet Loss 0.0
