Average Latency : 2.29  Packet Loss 0.0
Average Latency : 1.78  Packet Loss 0.0
Average Latency : 1.33  Packet Loss 0.0
Average Latency : 1.5  Packet Loss 0.0
Average Latency : 1.61  Packet Loss 0.0
Average Latency : 1.5  Packet Loss 0.0
Average Latency : 1.28  Packet Loss 0.0
Average Latency : 1.32  Packet Loss 0.0
Average Latency : 1.4  Packet Loss 0.0
Average Latency : 1.68  Packet Loss 0.0
Average Latency : 1.99  Packet Loss 0.0
Average Latency : 1.32  Packet Loss 0.0
Average Latency : 1.31  Packet Loss 0.0
Average Latency : 1.37  Packet Loss 0.0
Average Latency : 1.55  Packet Loss 0.0
Average Latency : 1.35  Packet Loss 0.0
Average Latency : 1.69  Packet Loss 0.0
Average Latency : 1.7  Packet Loss 0.0
Average Latency : 1.76  Packet Loss 0.0
Average Latency : 1.44  Packet Loss 0.0
Average Latency : 1.32  Packet Loss 0.0
Average Latency : 1.34  Packet Loss 0.0
Average Latency : 1.48  Packet Loss 0.0
Average Latency : 1.37  Packet Loss 0.0
Average Latency : 1.46  Packet Loss 0.0
Average Latency : 1.42  Packet Loss 0.0
Average Latency : 1.3  Packet Loss 0.0
Average Latency : 1.9  Packet Loss 0.0
Average Latency : 1.43  Packet Loss 0.0
Average Latency : 1.36  Packet Loss 0.0
Average Latency : 1.31  Packet Loss 0.0
Average Latency : 1.38  Packet Loss 0.0
Average Latency : 1.55  Packet Loss 0.0
Average Latency : 1.33  Packet Loss 0.0
Average Latency : 1.42  Packet Loss 0.0
Average Latency : 1.34  Packet Loss 0.0
Average Latency : 1.39  Packet Loss 0.0
Average Latency : 1.33  Packet Loss 0.0
Average Latency : 1.31  Packet Loss 0.0
Average Latency : 1.36  Packet Loss 0.0
