Average Latency : 1.44  Packet Loss 0.0
Average Latency : 1.33  Packet Loss 0.0
Average Latency : 1.73  Packet Loss 0.0
Average Latency : 1.36  Packet Loss 0.0
Average Latency : 1.34  Packet Loss 0.0
Average Latency : 1.32  Packet Loss 0.0
Average Latency : 2.47  Packet Loss 0.0
Average Latency : 1.29  Packet Loss 0.0
Average Latency : 1.47  Packet Loss 0.0
Average Latency : 1.57  Packet Loss 0.0
Average Latency : 1.76  Packet Loss 0.0
Average Latency : 1.58  Packet Loss 0.0
Average Latency : 1.39  Packet Loss 0.0
Average Latency : 1.31  Packet Loss 0.0
Average Latency : 1.34  Packet Loss 0.0
Average Latency : 2.0  Packet Loss 0.0
Average Latency : 3.21  Packet Loss 0.0
Average Latency : 1.43  Packet Loss 0.0
Average Latency : 1.42  Packet Loss 0.0
Average Latency : 1.33  Packet Loss 0.0
Average Latency : 1.62  Packet Loss 0.0
Average Latency : 1.36  Packet Loss 0.0
Average Latency : 1.35  Packet Loss 0.0
Average Latency : 1.35  Packet Loss 0.0
Average Latency : 1.74  Packet Loss 0.0
Average Latency : 1.5  Packet Loss 0.0
Average Latency : 1.31  Packet Loss 0.0
Average Latency : 1.36  Packet Loss 0.0
Average Latency : 1.31  Packet Loss 0.0
Average Latency : 1.5  Packet Loss 0.0
Average Latency : 1.57  Packet Loss 0.0
Average Latency : 1.59  Packet Loss 0.0
Average Latency : 1.3  Packet Loss 0.0
Average Latency : 1.71  Packet Loss 0.0
Average Latency : 2.19  Packet Loss 0.0
Average Latency : 1.47  Packet Loss 0.0
Average Latency : 1.48  Packet Loss 0.0
Average Latency : 1.29  Packet Loss 0.0
Average Latency : 1.63  Packet Loss 0.0
Average Latency : 1.25  Packet Loss 0.0
