Average Latency : 5.06  Packet Loss 0.0
Average Latency : 2.12  Packet Loss 0.0
Average Latency : 2.52  Packet Loss 0.0
Average Latency : 2.53  Packet Loss 0.0
Average Latency : 3.97  Packet Loss 0.0
Average Latency : 3.53  Packet Loss 0.0
Average Latency : 3.51  Packet Loss 0.0
Average Latency : 2.5  Packet Loss 0.0
Average Latency : 4.31  Packet Loss 0.0
Average Latency : 2.59  Packet Loss 0.0
Average Latency : 2.8  Packet Loss 0.0
Average Latency : 3.0  Packet Loss 0.0
Average Latency : 2.89  Packet Loss 0.0
Average Latency : 2.66  Packet Loss 0.0
Average Latency : 2.37  Packet Loss 0.0
Average Latency : 3.31  Packet Loss 0.0
Average Latency : 2.83  Packet Loss 0.0
Average Latency : 3.29  Packet Loss 0.0
Average Latency : 3.51  Packet Loss 0.0
Average Latency : 3.59  Packet Loss 0.0
Average Latency : 2.59  Packet Loss 0.0
Average Latency : 2.23  Packet Loss 0.0
Average Latency : 2.56  Packet Loss 0.0
Average Latency : 2.42  Packet Loss 0.0
Average Latency : 3.1  Packet Loss 0.0
Average Latency : 2.28  Packet Loss 0.0
Average Latency : 2.25  Packet Loss 0.0
Average Latency : 3.81  Packet Loss 0.0
Average Latency : 2.6  Packet Loss 0.0
Average Latency : 3.09  Packet Loss 0.0
Average Latency : 2.44  Packet Loss 0.0
Average Latency : 2.47  Packet Loss 0.0
Average Latency : 2.82  Packet Loss 0.0
Average Latency : 2.22  Packet Loss 0.0
Average Latency : 2.67  Packet Loss 0.0
Average Latency : 3.87  Packet Loss 0.0
Average Latency : 155.59  Packet Loss 0.049999999999999996
Average Latency : 7.87  Packet Loss 0.0
Average Latency : 3.98  Packet Loss 0.0
Average Latency : 3.78  Packet Loss 0.0
